39.540000915527339.95999908447000000003 2016-12-2939.54000091539.9599990
39.340000152587839.47000122070000000005 2016-12-3039.95999908439.4700012
000000000000004000000000040.25000000008 2017-01-0340.2900009150000040.25
40.044998168945300000000000041000000006 2017-01-0440.3499984740000000041
41.040000915527341.06000137329000000006 2017-01-0541.43000030541.0600013
40.790000915527341.45000076293000000005 2017-01-0641.24000167841.4500007
41.110000610351541.40000152587000000003 2017-01-0941.49000167841.4000015
41.069999694824241.08000183105000000004 2017-01-1041.40000152541.0800018
40.834999084472641.27999877929000000004 2017-01-1141.22999954241.2799987
40.919998168945341.56000137329000000003 2017-01-1241.27999877941.5600013
41.529998779296841.59999847412000000003 2017-01-1341.65000152541.5999984
41.200000762939441.27000045776000000005 2017-01-1741.59999847441.2700004
41.110000610351541.34999847412000000004 2017-01-1841.40999984741.3499984
41.029998779296841.27000045776000000004 2017-01-19000000041.2541.2700004
41.299999237060541.68999862670000000006 2017-01-2041.38999938941.6899986
0000000000041.2541.61999893188000000008 2017-01-2341.86000061041.6199989
41.529998779296841.95999908447000000006 2017-01-2441.95000076241.9599990
41.659999847412141.70999908447000000008 2017-01-2542.36000061041.7099990
41.2849998474121000000000041.5000000011 2017-01-2642.36000061000000041.5
39.919998168945340.27000045776000000022 2017-01-2700000000004140.2700004
39.419998168945339.86000061035000000011 2017-01-3040.16999816839.8600006
39.450000762939439.77999877929000000009 2017-01-3139.70000076239.7799987
39.110000610351539.31000137329000000008 2017-02-0139.95999908439.3100013
39.020000457763639.58000183105000000008 2017-02-0239.40000152539.5800018
39.549999237060539.59000015258000000007 2017-02-0339.79000091539.5900001
39.340000152587839.74000167846000000008 2017-02-0639.63999938939.7400016
39.700000762939440.02000045776000000007 2017-02-0740.00999832140.0200004
39.919998168945340.88000106811000000007 2017-02-0840.18000030540.8800010
40.299999237060540.83000183105000000006 2017-02-0940.43999862640.8300018
40.560001373291040.58000183105000000006 2017-02-1040.81999969440.5800018
40.740001678466841.16999816894000000006 2017-02-1340.83000183141.1699981
40.939998626708941.61999893188000000006 2017-02-1441.18000030541.6199989
41.270000457763641.86999893188000000007 2017-02-1541.68999862641.8699989
41.700000762939442.15000152587000000005 2017-02-1641.86999893142.1500015
41.799999237060541.95999908447000000005 2017-02-1741.91999816841.9599990
41.900001525878942.43000030517000000005 2017-02-2141.93000030542.4300003
42.119998931884742.41999816894000000004 2017-02-2242.29999923742.4199981
